
2024/05/08 (12:29:24) | ===> btop++ v.1.3.2
2024/05/08 (12:29:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/17 (10:05:09) | ===> btop++ v.1.3.2
2024/05/17 (10:05:09) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/17 (10:05:31) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:06:01) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:06:28) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:06:44) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:07:14) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:07:24) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:07:30) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:07:36) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:07:50) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:07:56) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:08:02) | ERROR: Stall in Runner thread, restarting!
2024/05/17 (10:08:08) | ERROR: Stall in Runner thread, restarting!

2024/08/13 (15:24:00) | ===> btop++ v.1.3.2
2024/08/13 (15:24:00) | ERROR: Stall in Runner thread, restarting!

2024/08/30 (10:51:25) | ===> btop++ v.1.3.2
2024/08/30 (10:51:25) | ERROR: No response from Runner thread, quitting!

2024/09/02 (06:10:07) | ===> btop++ v.1.3.2
2024/09/02 (06:10:07) | ERROR: Stall in Runner thread, restarting!
2024/09/02 (06:10:13) | ERROR: Stall in Runner thread, restarting!

2024/09/26 (08:31:32) | ===> btop++ v.1.4.0
2024/09/26 (08:31:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/11 (15:41:42) | ===> btop++ v.1.4.0
2024/10/11 (15:41:42) | ERROR: Stall in Runner thread, restarting!
2024/10/11 (15:42:08) | ERROR: Stall in Runner thread, restarting!
2024/10/11 (15:42:14) | ERROR: Stall in Runner thread, restarting!
2024/10/11 (15:42:26) | ERROR: Stall in Runner thread, restarting!
2024/10/11 (15:42:32) | ERROR: Stall in Runner thread, restarting!

2024/10/18 (18:02:41) | ===> btop++ v.1.4.0
2024/10/18 (18:02:41) | ERROR: Stall in Runner thread, restarting!

2024/10/20 (20:19:03) | ===> btop++ v.1.4.0
2024/10/20 (20:19:03) | WARNING: Failed to set locale UTF-8 continuing anyway.
